Name,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pHsulphates,alcohol,quality
Domaine de Saint-Pierre Sancerre Blanc 2018,0.17,0.49,1.0,0.034,26.0,106.0,0.992,3.21,0.42,9.8,6
Grauer Burgunder Trocken 2018,0.29,0.21,15.55,0.043,20.0,142.0,0.99658,3.11,0.54,10.1,6
Obere Steigen Grüner Veltliner 2019,0.38,0.29,13.65,0.048,52.0,189.0,0.99784,3.0,0.6,9.5,6
Grauer Burgunder Trocken 2016,0.3,0.45,1.4,0.039,36.0,122.0,0.99059,3.07,0.47,11.1,7
Fuchslahn Gewürztraminer 2016,0.28,0.29,1.1,0.028,18.0,69.0,0.99168,3.24,0.54,10.0,6
Sauvignon Blanc 2017,0.39,0.24,6.9,0.069,9.0,117.0,0.9942,3.15,0.35,10.2,4
Hipping Riesling 2015,0.16,0.26,6.85,0.047,30.0,220.0,0.99622,3.38,0.58,10.1,6
Chardonnay 2018,0.27,0.74,1.3,0.173,34.0,121.0,0.99334,3.04,0.46,9.2,6
The Long Walk Chardonnay 2019,0.29,0.25,12.0,0.057,48.0,224.0,0.9981,3.23,0.41,9.0,6
Aconcagua Costa Sauvignon Blanc 2017,0.24,0.26,8.2,0.054,47.0,182.0,0.99538,3.12,0.5,9.5,5
Lo Cortinelo.Lo Blanc 2016,0.33,0.26,15.6,0.049,67.0,210.0,0.99907,3.06,0.68,9.5,5
Rotenberg GG 2016,0.4,0.49,1.1,0.048,11.0,138.0,0.9929,3.01,0.42,9.3,5
Pinot Grigio 2018,0.16,0.74,17.85,0.037,52.0,187.0,0.9998,2.99,0.41,9.3,5
Viognier 2016,0.22,0.23,5.0,0.045,10.0,122.0,0.99261,2.94,0.63,10.0,6
Saar Riesling Fuder 13 2017,0.19,0.39,8.0,0.028,22.0,84.0,0.994,3.11,0.66,10.8,6
Les Châtillons Chablis 2015,0.19,0.49,1.6,0.047,42.0,140.0,0.9932,3.4,0.47,10.7,6
Albariño 2016,0.3,0.4,1.8,0.028,23.0,122.0,0.9914,3.14,0.39,10.9,7
Pleno Blanco 2018,0.17,0.32,2.4,0.048,41.0,200.0,0.9938,3.5,0.5,9.7,6
Turmhof Gewürztraminer 2017,0.24,0.3,1.5,0.045,22.0,61.0,0.992,3.31,0.54,10.4,5
Grüner Veltliner 2016,0.18,0.37,1.5,0.043,16.0,104.0,0.99216,3.18,0.5,10.8,5
Vouvray 2018,0.23,0.39,14.2,0.058,49.0,192.0,0.9979,2.98,0.48,9.0,7
Sauvignon Blanc (Select Terroir Reserva) 2018,0.12,0.49,5.2,0.049,33.0,152.0,0.9952,3.18,0.47,10.6,6
Corton-Charlemagne Grand Cru 2013,0.16,0.32,1.1,0.036,74.0,184.0,0.99096,3.22,0.41,11.0,6
Federspiel Grüner Veltliner 2018,0.3,0.34,1.6,0.049,14.0,132.0,0.994,3.3,0.49,9.5,6
Chassagne-Montrachet Blanc 2016,0.24,0.26,1.7,0.033,61.0,134.0,0.9903,3.19,0.81,11.9,7
Somereto Chardonnay 2018,0.18,0.19,4.7,0.046,57.0,161.0,0.9946,3.32,0.66,10.5,6
Frühtau Riesling Trocken 2016,0.19,0.25,1.4,0.051,41.0,107.0,0.99382,3.53,0.66,10.5,7
Le Bouquet 2019,0.16,0.37,1.5,0.025,43.0,117.0,0.9928,3.46,0.51,9.7,6
Kirchleiten Sauvignon 2013,0.25,0.49,16.8,0.048,50.0,228.0,1.0001,3.03,0.52,9.2,6
Johannisberg Riesling Alte Reben Trocken 2018,0.17,0.34,6.4,0.042,16.0,111.0,0.99278,2.99,0.4,10.8,6
Custoza 2018,0.2,0.26,4.5,0.086,37.0,133.0,0.9963,3.15,0.42,9.2,5
Steinterrassen 2011,0.39,0.7,10.6,0.045,33.0,169.0,0.9976,3.09,0.57,9.4,5
Riesling Feinherb 2018,0.28,0.27,10.3,0.03,26.0,108.0,0.99388,3.2,0.36,10.7,6
Sancerre Blanc 2018,0.53,0.24,0.8,0.029,29.0,86.0,0.993,3.16,0.32,9.1,4
Vintage Tunina 2015,0.67,0.14,1.5,0.074,25.0,168.0,0.9937,3.05,0.51,9.3,5
Sancerre Grande Cuvée Blanc 2017,0.25,0.3,7.8,0.038,67.0,196.0,0.99555,3.1,0.5,10.1,5
Pinot Grigio 2018,0.19,0.35,13.5,0.038,49.0,118.0,0.99546,3.0,0.63,10.7,6
Senftenberger Piri Grüner Veltliner 2018,0.16,0.44,1.4,0.043,25.0,109.0,0.9932,3.11,0.75,10.3,6
Sauvignon 2018,0.25,0.3,1.6,0.046,32.0,134.0,0.993,3.42,0.51,10.1,7
Piesporter Goldtröpfchen Riesling Feinherb 2016,0.3,0.33,3.7,0.03,54.0,173.0,0.9887,3.36,0.3,13.0,7
Unterebner Pinot Grigio 2018,0.19,0.49,9.3,0.03,26.0,132.0,0.994,2.99,0.32,11.0,7
Halenberg Riesling GG 2017,0.34,0.86,1.4,0.174,36.0,99.0,0.99288,2.92,0.5,9.3,5
Sauvignon Blanc 2019,0.2,0.49,1.6,0.065,17.0,143.0,0.9937,3.22,0.52,9.2,6
Gewürztraminer Somontano 2019,0.22,0.32,5.8,0.041,20.0,119.0,0.99296,3.17,0.55,11.2,6
Deidesheimer Herrgottsacker Riesling Trocken 2017,0.42,0.49,8.2,0.056,32.0,164.0,0.9965,3.29,0.6,11.2,7
Les Cépages Sauvignon Blanc 2012,0.3,0.49,4.7,0.036,17.0,105.0,0.9916,3.26,0.68,12.4,7
Zeltinger Himmelreich Riesling Kabinett 2017,0.27,0.35,5.3,0.03,30.0,117.0,0.992,3.11,0.42,12.2,6
Premium Sauvignon Blanc 2019,0.32,0.26,7.9,0.05,53.0,180.0,0.99514,3.14,0.5,9.6,5
Vineyard Selection Chardonnay (Barrel Fermented) 2019,0.23,0.21,5.1,0.035,29.0,142.0,0.9942,3.36,0.33,10.1,7
Chardonnay - Pinot Noir 2018,0.17,0.42,15.1,0.033,28.0,124.0,0.99684,2.87,0.47,9.5,5
Pouilly-Fumé En Travertin 2017,0.23,0.49,7.7,0.049,61.0,209.0,0.9941,3.14,0.3,11.1,7
Litorale Vermentino 2018,0.105,0.29,1.1,0.035,44.0,140.0,0.99142,3.17,0.55,10.7,7
Riesling Alte Reben 2017,0.55,0.42,12.6,0.211,37.0,213.0,0.9988,2.99,0.56,9.3,5
Bordeaux Blanc 2017,0.25,0.33,2.9,0.057,52.0,173.0,0.9934,3.02,0.48,9.5,7
Wiener Gemischter 2018,0.18,0.26,2.2,0.023,21.0,95.0,0.9893,3.07,0.54,12.3,6
Saint-Véran 2018,0.15,0.32,14.0,0.031,16.0,99.0,0.99437,3.26,0.38,11.5,8
Altos R Blanco 2018,0.25,0.41,1.8,0.037,52.0,165.0,0.9911,3.29,0.39,12.2,7
Le Creete 2019,0.35,0.28,12.9,0.032,13.0,63.0,0.9932,2.99,0.43,13.0,6
Supperin Grüner Veltliner 2016,0.27,0.28,9.8,0.042,61.0,125.0,0.99532,3.14,0.42,10.2,6
Terroir Series Torrontes 2015,0.46,0.26,6.3,0.147,49.0,159.0,0.99434,3.14,0.47,10.0,5
Johannisberger Klaus Riesling GG 2016,0.22,0.34,1.4,0.023,56.0,115.0,0.98958,3.18,0.7,11.7,6
Ungeheuer GG 2017,0.27,0.37,8.2,0.055,52.0,192.0,0.99586,3.11,0.52,9.5,6
Sancerre Blanc 2018,0.14,0.46,1.6,0.036,15.0,92.0,0.99264,3.37,0.49,10.9,5
Grüner Veltliner vom Haus 2017,0.31,0.31,9.1,0.036,45.0,140.0,0.99216,2.98,0.31,12.0,7
Mâcon-Prissé 2014,0.28,0.6,1.1,0.132,42.0,127.0,0.9934,3.09,0.44,9.1,6
Branco (Antão Vaz - Viognier - Verdelho) 2018,0.24,0.49,5.8,0.053,25.0,120.0,0.9942,3.01,0.98,10.5,6
Schiefergestein Bockenauer Riesling Trocken 2018,0.25,0.3,11.8,0.043,53.0,133.0,0.99524,3.03,0.58,10.4,6
Sauvignon Blanc I 2016,0.23,0.39,14.2,0.058,49.0,192.0,0.9979,2.98,0.48,9.0,7
Podfuck 2016,0.16,0.34,6.1,0.034,31.0,114.0,0.99365,3.32,0.58,10.15,7
Glicine Bianco 2019,0.12,0.33,1.0,0.038,23.0,131.0,0.99164,3.25,0.45,9.8,5
Pioneer Block 1 Foundation Sauvignon Blanc 2019,0.35,0.25,7.8,0.031,24.0,116.0,0.99241,3.39,0.4,11.3,6
Halenberg Riesling GG 2018,0.2,0.4,2.0,0.037,19.0,87.0,0.9921,3.12,0.54,11.2,6
Saumur Blanc 2017,0.25,0.34,1.2,0.026,31.0,93.0,0.9916,2.93,0.37,11.3,7
9 Riesling 2018,0.2,0.23,1.5,0.037,38.0,93.0,0.99021,3.36,0.49,12.0,6
Chablis 2018,0.25,0.37,13.5,0.06,52.0,192.0,0.9975,3.0,0.44,9.1,5
Umbria Bianco 2019,0.24,0.62,10.6,0.045,51.0,153.0,0.99779,3.16,0.44,8.8,5
Kirchenstück GG 2015,0.33,0.3,3.0,0.036,30.0,124.0,0.98922,3.31,0.4,13.1,7
Faß 25 Ayler Riesling 2016,0.33,0.4,2.65,0.041,35.0,86.0,0.98916,3.11,0.39,13.3,7
Finca Montico 2018,0.23,0.24,0.9,0.031,29.0,86.0,0.98926,2.9,0.38,12.2,6
Grillo Sur Sur 2019,0.29,0.2,12.6,0.045,45.0,187.0,0.9972,3.33,0.42,9.5,5
Luberon La Ciboise Blanc 2018,0.19,0.27,13.9,0.057,45.0,155.0,0.99807,2.94,0.41,8.8,8
Venezia Giulia Jurosa (Chardonnay) 2016,0.38,0.34,3.4,0.036,34.0,200.0,0.9937,3.14,0.76,10.0,5
Douro Branco 2017,0.21,0.3,6.3,0.039,47.0,136.0,0.99068,3.27,0.31,12.7,6
Sauvignon Blanc 2018,0.12,0.34,1.5,0.045,43.0,117.0,0.9939,3.42,0.51,9.0,6
Dom Riesling Feinherb 2017,0.29,0.52,7.9,0.049,35.0,192.0,0.99551,3.16,0.51,9.5,6
Riesling 2017,0.265,0.28,6.9,0.036,46.0,150.0,0.99299,3.36,0.44,10.8,7
La Galopine Condrieu 2017,0.2,0.33,4.7,0.03,25.0,76.0,0.99202,2.88,0.54,10.5,6
Piesporter Riesling Feinherb 2017,0.34,0.31,6.0,0.02,18.0,68.0,0.98981,3.22,0.29,13.4,7
Sauvignon Blanc 2019,0.28,0.24,2.4,0.044,29.0,157.0,0.99312,3.27,0.56,10.6,6
Corton-Charlemagne Grand Cru 2015,0.1,0.35,4.9,0.048,31.0,103.0,0.9947,3.43,0.79,9.7,6
Sauvignon Blanc 2017,0.25,0.38,7.9,0.045,54.0,208.0,0.99572,3.17,0.46,9.1,5
Chardonnay Felsenstein 2018,0.23,0.38,1.6,0.044,12.0,113.0,0.99176,3.3,0.73,11.4,5
Goruli Mtsvane 2018,0.2,0.5,10.0,0.036,78.0,167.0,0.9964,3.15,0.55,10.2,6
Torricella 2017,0.3,0.36,6.8,0.055,44.5,234.0,0.9972,3.49,0.64,10.2,6
Weissburgunder Trocken 2018,0.22,0.31,3.9,0.046,17.0,106.0,0.99098,3.15,0.31,11.5,5
Porcupine Ridge Chenin Blanc 2016,0.34,0.21,3.2,0.05,14.0,136.0,0.9936,3.25,0.44,10.2,5
Chenin Blanc 2018,0.24,0.3,12.3,0.035,72.0,172.0,0.9954,2.99,0.57,10.4,6
Sauvignon Blanc 500 2011,0.19,0.4,7.1,0.056,50.0,110.0,0.9954,3.06,0.52,9.9,6
Sancerre Blanc 2019,0.34,0.39,7.6,0.04,45.0,215.0,0.9965,3.11,0.53,9.2,6
Passerina (Unico) 2019,0.26,0.32,3.7,0.032,29.0,193.0,0.99134,3.1,0.67,12.5,6
Le Domaine Blanco de Guarda 2018,0.32,0.36,8.0,0.047,57.0,168.0,0.9949,3.15,0.46,9.6,5
Otto Soave 2019,0.28,0.34,2.2,0.037,24.0,125.0,0.98986,3.36,0.33,12.8,8
Sauvignon Blanc Trocken 2018,0.23,0.36,17.2,0.039,37.0,130.0,0.99946,3.23,0.43,8.8,6
Cuvée Especial Verdejo 2016,0.55,0.05,8.0,0.036,19.0,164.0,0.99269,3.26,0.46,12.2,6
Dornleiten Riesling 2017,0.25,0.32,5.5,0.049,41.0,176.0,0.995,3.19,0.68,9.2,6
Chardonnay Bourgogne 2016,0.24,0.36,8.4,0.042,42.0,123.0,0.99473,3.34,0.52,10.9,6
Villa Di Chiesa Valli di Porto Pino 2017,0.35,0.31,17.95,0.062,42.0,187.0,1.0002,3.27,0.64,9.1,5
Vigna Kastelaz Gewürztraminer 2015,0.41,0.33,10.1,0.043,28.0,152.0,0.9968,3.2,0.52,9.4,5
Armador Sauvignon Blanc 2018,0.29,0.26,7.0,0.04,18.0,113.0,0.99366,3.17,0.38,10.2,6
101 Rangs Pouilly-Fumé 2016,0.27,0.32,8.8,0.047,65.0,224.0,0.9961,3.17,0.47,8.9,5
Vulkangestein Riesling Trocken 2018,0.25,0.47,8.4,0.042,36.0,156.0,0.99604,3.15,0.55,9.4,6
Pinot Grigio 2019,0.16,0.29,6.0,0.03,29.0,144.0,0.99474,3.68,0.46,10.7,6
Lugana 2019,0.21,0.27,1.2,0.041,27.0,99.0,0.9927,3.19,0.33,9.8,6
Gewürztraminer - Riesling Trocken 2017,0.16,0.34,0.8,0.029,26.0,77.0,0.99155,3.25,0.51,10.1,6
Single Estate Selected White 2014,0.16,0.3,6.7,0.043,43.0,153.0,0.9951,3.63,0.46,10.6,5
Königsschild Riesling 2016,0.3,0.32,2.0,0.044,34.0,90.0,0.99185,3.37,0.68,11.0,7
Synera Blanco 2018,0.445,0.56,1.0,0.04,8.0,84.0,0.9938,3.25,0.43,10.8,5
Kung Fu Girl Riesling 2018,0.21,0.32,1.6,0.03,33.0,122.0,0.99044,3.33,0.52,11.9,6
Clifford Bay Reserve Sauvignon Blanc 2018,0.2,0.28,0.9,0.023,49.0,87.0,0.99062,2.92,0.36,11.1,6
Altavilla della Corte Grillo 2016,0.39,0.28,9.2,0.036,10.0,92.0,0.99206,3.07,0.35,12.1,6
Friulano 2017,0.27,0.32,4.5,0.24,61.0,174.0,0.9948,3.12,0.48,9.4,5
Saint-Aubin 1er Cru 'Les Charmois' 2015,0.25,0.48,10.0,0.044,78.0,240.0,0.99655,3.25,0.47,9.5,6
Regaleali Bianco Sicilia 2019,0.34,0.44,8.2,0.043,54.0,201.0,0.99551,3.18,0.48,9.5,5
Terroir Series Sauvignon Blanc 2019,0.24,0.27,16.8,0.04,48.0,129.0,0.99691,3.23,0.38,10.5,6
Biscondola 2018,0.26,0.39,6.4,0.171,64.0,200.0,0.99562,3.19,0.38,9.4,6
Wehlener Sonnenuhr Riesling Kabinett 2018,0.29,0.41,10.8,0.048,55.0,149.0,0.9937,3.09,0.59,11.0,7
Friulano 2018,0.38,0.26,9.55,0.036,35.0,91.0,0.9919,2.98,0.37,12.4,6
Verdeo Verdejo 2019,0.35,0.03,1.2,0.064,29.0,120.0,0.9934,3.22,0.54,9.1,5
Sauvignon Blanc 2019,0.18,0.37,1.2,0.04,16.0,75.0,0.992,3.18,0.63,10.8,5
Pinot Grigio 2018,0.35,0.26,17.6,0.061,59.0,198.0,0.99918,3.11,0.49,8.8,5
Ermitage Ex-Voto Blanc 2012,0.25,0.39,1.3,0.051,42.0,135.0,0.9906,3.23,0.4,11.1,6
Ribolla Gialla 2018,0.34,0.24,5.4,0.06,23.0,126.0,0.9951,3.25,0.44,9.0,7
Albaclara Sauvignon Blanc 2018,0.26,0.27,4.2,0.031,20.0,80.0,0.99089,3.12,0.39,11.5,6
Sankt Nikolaus Riesling Trocken 2017,0.23,0.29,3.1,0.023,19.0,89.0,0.99068,3.25,0.51,11.2,6
Chenin Blanc 2018,0.22,0.19,4.5,0.096,16.0,115.0,0.9937,3.02,0.44,9.6,5
Niederberg Helden Riesling GG 2018,0.28,0.3,3.9,0.026,36.0,105.0,0.98963,3.26,0.58,12.75,6
Kirchspiel Riesling GG 2016,0.25,0.37,2.6,0.05,24.0,132.0,0.99138,3.04,0.53,11.2,6
Sauvignon 2018,0.23,0.3,7.1,0.037,63.0,236.0,0.9952,3.06,0.34,9.2,6
Castello della Sala Conte della Vipera 2019,0.25,0.35,9.2,0.034,42.0,150.0,0.9947,3.21,0.36,11.5,6
Scheurebe Trocken 2018,0.16,0.35,1.5,0.036,29.0,108.0,0.99342,3.27,0.51,10.2,6
Noon Gun Chenin Blanc - Sauvignon Blanc - Viognier 2016,0.32,0.3,1.0,0.049,22.0,113.0,0.99289,3.24,0.61,10.2,5
Santa Digna Reserva Chardonnay 2018,0.18,0.29,4.6,0.032,68.0,137.0,0.99159,3.21,0.38,11.3,6
Godello 2019,0.12,0.26,4.3,0.038,18.0,97.0,0.99477,3.36,0.46,9.2,5
Doosberg Riesling Trocken 2017,0.44,0.28,3.4,0.048,22.0,112.0,0.99188,3.21,0.37,11.3,7
Pecorino (Unico) 2019,0.19,0.37,2.6,0.041,24.0,99.0,0.99153,3.18,0.5,10.9,6
Quincy Haute Victoire 2018,0.35,0.47,13.3,0.037,42.0,116.0,0.99822,3.04,0.5,9.2,5
Greco di Tufo 2018,0.34,0.3,8.5,0.059,24.0,152.0,0.99615,3.46,0.64,11.0,7
Gavi 2019,0.36,0.38,10.2,0.028,20.0,82.0,0.99274,3.1,0.43,12.1,7
Tonschiefer Riesling Trocken 2018,0.26,0.3,7.9,0.049,38.0,157.0,0.9963,3.13,0.48,8.9,6
RS Weissburgunder 2017,0.21,0.34,8.5,0.033,31.0,253.0,0.9953,3.22,0.56,10.5,6
Live Wire Riesling 2019,0.33,0.38,1.7,0.062,50.5,344.0,0.9958,3.1,0.7,9.5,5
Modello Pinot Grigio 2019,0.28,0.54,12.9,0.049,62.0,162.5,0.9984,3.06,0.45,9.1,6
Les Menétrieres Pouilly-Fuissé (Cuvée Hors-Classe) 2015,0.25,0.39,6.4,0.034,8.0,84.0,0.9942,3.18,0.46,11.5,5
Oranžista 2017,0.25,0.37,4.5,0.039,41.0,147.0,0.9921,3.18,0.4,11.1,7
Effusion Anjou 2018,0.2,0.16,1.4,0.042,44.0,99.0,0.98912,3.23,0.37,12.2,6
Königsbacher Ölberg Riesling 2018,0.6,0.44,11.0,0.05,50.0,245.0,0.9972,3.19,0.57,9.3,4
Mâcon-Milly-Lamartine 2016,0.24,0.55,8.1,0.04,67.0,216.0,0.99596,3.24,0.5,9.2,5
Chardonnay 2017,0.32,0.28,4.7,0.039,34.0,94.0,0.98964,3.22,0.57,13.1,7
Fiano Di Avellino Pietracalda 2018,0.29,0.33,3.7,0.029,30.0,88.0,0.98994,3.25,0.42,12.3,6
Villa Angela Passerina Marche 2018,0.25,0.3,4.1,0.054,23.0,116.0,0.994,2.99,0.38,9.4,6
Riesling 2016,0.3,0.35,2.8,0.038,10.0,164.0,0.9912,3.09,0.53,12.0,6
Frauenberg Riesling GG 2016,0.2,0.27,10.9,0.038,29.0,130.0,0.99496,3.11,0.44,10.5,7
Heytesbury Chardonnay 2017,0.64,0.08,9.7,0.062,26.0,142.0,0.9972,3.37,0.46,8.9,4
Vignes Blanches Pouilly-Fuissé 2017,0.31,0.28,1.4,0.035,28.0,107.0,0.98836,3.0,0.4,13.2,6
Sauvignon Blanc 2019,0.27,0.37,9.7,0.042,36.0,130.0,0.9979,3.48,0.75,9.9,6
Kranachberg Sauvignon Blanc 2017,0.2,0.31,2.8,0.054,16.0,89.0,0.99416,2.96,0.45,9.5,6
Soave Classico 2019,0.3,0.25,8.0,0.036,21.0,124.0,0.99362,3.06,0.38,10.8,6
Ürziger Würzgarten Riesling Spätlese 2016,0.5,0.13,5.0,0.028,12.0,107.0,0.99079,3.48,0.88,13.5,7
Bianco N.V.,0.17,0.33,6.0,0.036,30.0,111.0,0.99362,3.32,0.58,10.1333333333333,7
Soave Classico 2018,0.35,0.28,12.4,0.051,86.0,213.0,0.9962,3.16,0.51,9.9,6
Solosole Vermentino 2019,0.51,0.24,2.1,0.043,14.0,155.0,0.9904,3.22,0.6,13.0,6
Fabelhaft Riesling 2018,0.25,0.3,14.4,0.052,40.0,183.0,0.998,3.02,0.5,9.1,6
Ferentano Lazio 2016,0.36,0.23,1.9,0.017,31.0,69.0,0.9892,2.93,0.36,12.5,6
Riesling 2019,0.23,0.35,6.9,0.03,45.0,116.0,0.99244,2.8,0.54,11.0,6
Chardonnay 2019,0.4,0.19,3.2,0.033,28.0,124.0,0.9904,3.22,0.54,12.7,7
Vernaccia di San Gimignano 2019,0.68,0.26,3.4,0.069,25.0,146.0,0.99347,3.18,0.4,9.3,5
Rotschiefer Riesling Kabinett 2017,0.14,0.25,0.7,0.039,15.0,89.0,0.9919,3.22,0.43,9.2,6
Sandstein Riesling Trocken 2019,0.18,0.33,8.0,0.051,16.0,131.0,0.9965,3.28,0.44,8.7,7
Pessac-Léognan Blanc (Grand Cru Classé de Graves) 2016,0.215,0.23,5.1,0.041,64.0,157.0,0.99688,3.42,0.44,8.0,3
Sancerre Blanc 2018,0.16,0.32,1.1,0.036,74.0,184.0,0.99096,3.22,0.41,11.0,6
Reserva Sauvignon Blanc 2019,0.24,0.26,5.4,0.03,15.0,94.0,0.99045,3.15,0.38,12.7,6
Chardonnay - Pinot Noir 2019,0.23,0.36,16.3,0.038,43.0,133.0,0.99924,3.26,0.41,8.8,5
Puligny-Montrachet 2017,0.25,0.74,19.4,0.054,44.0,169.0,1.0004,3.51,0.45,9.8,6
Priara Pinot Grigio 2016,0.22,0.35,5.5,0.054,37.0,183.0,0.99474,3.08,0.5,10.3,5
Genèse Riesling 2011,0.24,0.41,1.3,0.036,42.0,118.0,0.99018,3.04,0.64,11.7333333333333,6
Chenin Blanc 2016,0.24,0.43,2.0,0.021,20.0,69.0,0.99,3.08,0.56,12.2,6
Chardonnay Uno 2012,0.23,0.4,5.2,0.066,14.0,91.0,0.99488,3.17,0.8,9.7,5
Sauvignon Blanc 2018,0.2,0.39,2.6,0.044,30.0,180.0,0.9941,3.46,0.44,10.8,7
Fiano Di Avellino 2018,0.15,0.3,1.4,0.022,38.0,100.0,0.99099,3.42,0.57,11.4,7
Weissburgunder 2017,0.26,0.31,3.6,0.025,22.0,100.0,0.99066,2.99,0.47,12.1,7
Reserve Spéciale Chardonnay 2018,0.425,0.4,13.1,0.038,59.0,241.0,0.9979,3.23,0.57,9.0,5
Vivia Maremma Toscana 2018,0.23,0.33,5.8,0.04,25.0,136.0,0.995,3.19,0.58,9.5,6
Pinot Grigio 2018,0.28,0.19,7.8,0.04,48.0,184.0,0.99579,3.16,0.5,9.4,5
Sauvignon Blanc 2018,0.23,0.33,1.0,0.043,46.0,110.0,0.99118,3.04,0.65,10.8,6
Blanc 2018,0.3,0.28,5.0,0.042,36.0,168.0,0.99505,3.22,0.69,9.5,6
Branco 2017,0.26,0.59,11.8,0.046,58.0,164.0,0.99814,3.17,0.46,8.9,4
